id,sentiment
"12311_10",0.9999999999946807
"8348_2",2.0090022878845603e-15
"5828_4",0.9999138994359533
"7186_2",0.9934166235849118
"12128_7",0.9999921514622416
"2913_8",0.9999999991560375
"4396_1",3.7821079573085686e-05
"395_2",0.002081759514722319
"10616_1",3.559381548188416e-09
"9074_9",0.004359886737933029
"9252_3",3.87278724764919e-17
"9896_9",5.093306091157823e-08
"574_4",7.801662059201889e-05
"11182_8",0.8190474334306579
"11656_4",3.8350444987093056e-07
"2322_4",0.9999999951194827
"8703_1",0.0027351772200539947
"7483_1",0.0010142280468519807
"6007_10",0.9993332624376813
"12424_4",3.804664432876211e-05
"4672_1",2.8507553124379423e-32
"10841_3",0.770917759957453
"8954_7",0.9873519578494824
"7392_1",0.0047414032391383375
"10288_8",0.9996551664074468
"5343_4",1.1433161167201687e-11
"4950_1",2.9073852008585993e-18
"9257_4",0.6373594384501198
"8689_3",0.10516445908418476
"4480_2",4.8143679521605935e-14
"9286_10",0.9999878025801984
"12245_10",0.9999539780195559
"7529_7",0.9787730850079225
"4_4",0.07786766555899385
"5299_2",3.761754255625998e-08
"12077_8",0.9999909103013268
"10701_2",7.104727583766658e-06
"11579_1",0.9718565743037049
"10993_1",2.817676750401719e-05
"8913_1",6.31348212938371e-07
"1350_3",0.00011820227758858847
"3804_2",8.611744221097336e-07
"5025_3",6.668245062849527e-10
"5170_8",0.9469817932671278
"8225_8",1.0
"6427_7",0.9999999777314608
"3165_3",0.21732641677740133
"7902_9",0.9999999999999603
"8208_3",3.351470097585081e-07
"3577_8",1.0
"4865_1",2.505013225700542e-11
"9063_3",0.00017112863414063426
"1106_1",0.0019273455580493394
"1117_9",0.9999997151776957
"1050_4",0.011624784470283128
"10755_9",0.9927458209983888
"2729_8",0.9999995071751004
"10072_10",0.9999999999995619
"2904_7",0.9999999725767718
"4584_2",0.9994079036444468
"189_4",0.00022611218349837144
"6302_4",2.218024991960988e-06
"8138_9",0.9999998837202511
"1262_1",0.0031626597046367695
"2199_10",1.0
"6551_7",0.9999998011358782
"8082_7",0.0015597326575879243
"4897_8",1.0
"7360_1",1.5871629393779324e-36
"11012_10",0.9991419133548439
"12046_1",1.1032841621538947e-05
"2331_2",0.977749212706033
"8961_9",0.999999845566515
"751_7",0.9999999978855523
"9884_10",0.06529699224567592
"10016_8",0.999999999996575
"8023_10",0.9991245650497437
